Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Tom Clancy's Rainbow Six: Vegas 2,1.07 million,2008-03-18,Tactical shooterfirst-person shooter,Ubisoft Montreal,Ubisoft,Xbox 360
Grand Theft Auto IV,11.1 million,2008-04-29,Action-adventure,Rockstar North,Rockstar Games,Xbox 360
Ninja Gaiden II,1 million,2008-06-03,Action-adventurehack and slash,Team Ninja,Microsoft,Xbox 360
Madden NFL 09,1.87 million,2008-08-12,Sports,EA Tiburon,EA Sports,Xbox 360
Rock Band 2,1.02 million,2008-09-14,Musicrhythm,Harmonix,MTV Games,Xbox 360
Star Wars: The Force Unleashed,1.123 million,2008-09-16,Action-adventurehack and slash,LucasArts,LucasArts,Xbox 360
Fable II,3.5 million,2008-10-21,Action role-playing,Lionhead Studios,Microsoft Game Studios,Xbox 360
Guitar Hero World Tour,1.124 million,2008-10-26,Musicrhythm,Neversoft,Activision,Xbox 360
Fallout 3,1.51 million,2008-10-28,Action role-playing,Bethesda Game Studios,Bethesda Softworks,Xbox 360
Gears of War 2,5 million,2008-11-07,Third-person shooter,Epic Games,Microsoft Game Studios,Xbox 360
Call of Duty: World at War,3.35 million,2008-11-11,First-person shooter,Treyarch,Activision,Xbox 360
Left 4 Dead,1 million,2008-11-18,First-person shootersurvival horror,Valve South,Valve,Xbox 360
Halo Wars,1 million,2009-02-26,Real-time strategy,Ensemble Studios,Microsoft Game Studios,Xbox 360
Resident Evil 5,1.423 million,2009-03-05,Third-person shooter,Capcom,Capcom,Xbox 360
UFC 2009 Undisputed,1.23 million,2009-05-19,Sports,Yuke's,THQ,Xbox 360
Trials HD[d],2 million,2009-08-12,Racingpuzzle,RedLynx,Microsoft Game Studios,Xbox 360
Batman: Arkham Asylum,3.48 million,2009-08-25,Action-adventure,Rocksteady Studios,Square Enix,Xbox 360
Halo 3: ODST,3 million,2009-09-22,First-person shooter,Bungie,Microsoft Game Studios,Xbox 360
Forza Motorsport 3,2 million,2009-10-23,Racing,Turn 10 Studios,Microsoft Game Studios,Xbox 360
Call of Duty: Modern Warfare 2,13.49 million,2009-11-10,First-person shooter,Infinity Ward,Activision,Xbox 360
Assassin's Creed II,1.917 million,2009-11-17,Action-adventurestealth,Ubisoft Montreal,Ubisoft,Xbox 360
Mass Effect 2,1.6 million,2010-01-26,Action role-playingthird-person shooter,BioWare,Electronic Arts,Xbox 360
Battlefield: Bad Company 2,1.05 million,2010-03-02,First-person shooter,EA DICE,Electronic Arts,Xbox 360
Final Fantasy XIII,2 million,2010-03-09,Role-playing,Square Enix 1st Production Department,Square Enix,Xbox 360
Red Dead Redemption,1.865 million,2010-05-18,Action-adventure,Rockstar San Diego,Rockstar Games,Xbox 360
Halo: Reach,9.87 million,2010-09-14,First-person shooter,Bungie,Microsoft Game Studios,Xbox 360
Kinect Sports,3 million,2010-10-09,Sports,Rare,Microsoft Game Studios,Xbox 360
Kinect Adventures!,24 million,2010-11-04,Adventuresports,Good Science Studio,Microsoft Game Studios,Xbox 360
Dance Central,2.5 million,2010-11-04,Musicrhythm,Harmonix,MTV Games,Xbox 360
Call of Duty: Black Ops,14.55 million,2010-11-09,First-person shooter,Treyarch,Activision,Xbox 360
Gears of War 3,3 million,2011-09-20,Third-person shooter,Epic Games,Microsoft Studios,Xbox 360
Batman: Arkham City,4.73 million,2011-10-18,Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment,Xbox 360
Battlefield 3,2.73 million,2011-10-25,First-person shooter,EA DICE,Electronic Arts,Xbox 360
Call of Duty: Modern Warfare 3,14.72 million,2011-11-08,First-person shooter,Infinity WardSledgehammer Games,Activision,Xbox 360
The Elder Scrolls V: Skyrim,13.7 million,2011-11-11,Action role-playing,Bethesda Game Studios,Bethesda Softworks,Xbox 360
Trials Evolution[d],1 million,2012-04-18,Racing,RedLynx,Microsoft Studios,Xbox 360
Minecraft: Xbox 360 Edition[d],21 million,2012-05-09,Sandboxsurvival,4J Studios,Microsoft Studios,Xbox 360
Halo 4,9.41 million,2012-11-06,First-person shooter,343 Industries,Microsoft Studios,Xbox 360
Call of Duty: Black Ops II,13.7 million,2012-11-13,First-person shooter,Treyarch,Activision,Xbox 360
Grand Theft Auto V,22.95 million,2013-09-17,Action-adventure,Rockstar North,Rockstar Games,Xbox 360
Call of Duty: Ghosts,10.16 million,2013-11-05,First-person shooter,Infinity Ward,Activision,Xbox 360
